document_completeness,required_field_completeness,eligibility_pass_ratio,budget_consistency,certificate_validity,contradiction_count,duplicate_similarity,suspicious_indicator_count,document_quality,proposal_quality,project_feasibility,environmental_impact,extraction_confidence,risk_class,risk_score,quality_score
0.95,0.87,1.0,1.0,1.0,0,0.35,0,0.83,1.0,0.94,1.0,1.0,LOW,0.0,71.3
0.47,0.54,0.3,0.36,0.55,5,0.17,2,0.39,0.3,0.25,0.29,0.5,HIGH,86.0,14.5
0.85,0.92,0.71,0.94,0.98,0,0.3,0,1.0,0.84,0.79,0.97,0.89,LOW,4.6,86.2
0.62,0.4,0.52,0.6,0.4,4,0.21,2,0.62,0.68,0.75,0.7,0.62,MEDIUM,53.2,46.0
0.4,0.4,0.3,0.25,0.2,4,0.45,3,0.42,0.5,0.4,0.3,0.5,HIGH,92.4,22.7
0.64,0.5,0.76,0.63,0.46,1,0.32,1,0.7,0.59,0.46,0.71,0.63,MEDIUM,43.0,40.6
0.8,0.67,0.58,0.56,0.73,4,0.26,0,0.69,0.58,0.49,0.64,0.57,MEDIUM,36.1,72.3
0.4,0.4,0.34,0.31,0.21,1,0.41,5,0.3,0.3,0.32,0.2,0.5,HIGH,96.0,31.2
0.99,0.75,0.74,1.0,0.59,0,0.13,0,0.91,0.96,1.0,0.78,0.96,LOW,4.4,72.1
0.56,0.57,0.6,0.5,0.76,1,0.33,0,0.6,0.46,0.57,0.77,0.57,MEDIUM,35.3,68.2
0.44,0.61,0.67,0.63,0.67,0,0.36,1,0.55,0.67,0.59,0.72,0.5,MEDIUM,49.4,49.7
0.4,0.4,0.55,0.41,0.36,6,0.45,5,0.3,0.31,0.26,0.2,0.5,HIGH,100.0,23.0
0.58,0.57,0.96,0.55,0.68,1,0.27,3,0.68,0.7,0.63,0.73,0.62,MEDIUM,37.7,65.0
0.69,0.83,0.56,0.88,0.81,2,0.29,1,0.61,0.88,1.0,1.0,0.69,LOW,28.7,73.6
0.65,0.74,0.91,0.94,0.88,0,0.25,0,0.84,0.83,0.83,0.74,0.8,LOW,12.7,80.5
0.4,0.4,0.35,0.37,0.46,3,0.85,2,0.3,0.59,0.25,0.23,0.5,HIGH,93.1,22.1
0.59,0.58,0.67,0.65,0.55,2,0.48,1,0.6,0.57,0.38,0.54,0.5,MEDIUM,50.0,57.4
0.71,0.64,0.79,0.81,0.74,3,0.19,4,0.55,0.81,0.87,0.64,0.8,LOW,34.1,46.0
0.85,0.87,0.88,0.93,0.81,1,0.0,0,0.75,0.93,0.82,1.0,0.88,LOW,2.7,69.6
0.5,0.49,0.55,0.53,0.57,3,0.0,1,0.5,0.57,0.6,0.5,0.5,MEDIUM,44.3,53.4
0.7,0.72,0.65,0.85,0.53,2,0.0,1,0.79,0.93,0.44,0.48,0.67,LOW,33.0,76.3
0.48,0.42,0.3,0.46,0.71,6,0.57,3,0.57,0.33,0.25,0.44,0.5,HIGH,88.3,29.8
0.4,0.4,0.3,0.31,0.23,5,0.57,2,0.3,0.43,0.29,0.37,0.5,HIGH,100.0,20.2
0.46,0.44,0.58,0.47,0.51,2,0.28,0,0.39,0.36,0.45,0.51,0.5,MEDIUM,50.9,38.6
0.96,0.89,0.78,0.83,0.75,0,0.01,3,0.81,0.87,0.79,0.74,0.83,LOW,9.5,60.4
0.77,0.91,1.0,0.9,1.0,1,0.22,1,0.81,1.0,0.65,0.97,0.8,LOW,7.1,83.8
0.4,0.4,0.38,0.42,0.49,4,0.59,3,0.3,0.52,0.4,0.41,0.5,HIGH,90.1,19.8
0.65,0.57,0.47,0.63,0.9,3,0.38,1,0.58,0.46,0.61,0.6,0.65,MEDIUM,47.1,53.5
0.77,0.73,0.59,0.77,0.73,2,0.36,3,0.86,0.68,0.63,0.5,0.78,MEDIUM,42.2,70.8
0.48,0.61,0.37,0.6,0.63,2,0.44,6,0.46,0.68,0.57,0.83,0.69,HIGH,67.6,47.0
0.69,0.69,0.38,0.87,0.53,5,0.39,3,0.74,0.74,0.5,0.82,0.69,MEDIUM,53.9,55.3
0.79,0.61,0.52,0.65,0.83,2,0.0,1,0.56,0.4,0.62,0.61,0.6,LOW,34.0,47.9
0.44,0.4,0.34,0.53,0.31,7,0.45,3,0.49,0.44,0.62,0.74,0.5,HIGH,88.0,43.8
1.0,1.0,0.91,0.75,1.0,2,0.35,0,0.93,0.71,0.96,0.81,0.9,LOW,6.7,70.8
0.67,0.56,0.51,0.86,0.84,5,0.33,1,0.81,0.71,0.73,0.38,0.5,MEDIUM,48.7,60.0
0.4,0.4,0.33,0.33,0.46,4,0.8,5,0.39,0.41,0.4,0.32,0.5,HIGH,100.0,36.0
0.75,0.91,0.72,0.94,0.76,0,0.23,0,0.6,0.79,0.98,0.78,0.6,LOW,12.4,82.9
0.64,0.44,0.49,0.71,0.49,0,0.24,1,0.59,0.44,0.76,0.74,0.5,MEDIUM,39.7,43.7
0.96,0.85,0.75,0.74,0.72,1,0.0,0,0.73,0.74,0.85,0.94,0.76,LOW,10.0,94.7
0.87,0.94,0.67,1.0,0.88,0,0.16,2,0.84,1.0,0.89,0.89,0.9,LOW,11.1,89.2
0.4,0.4,0.64,0.39,0.43,4,0.48,1,0.3,0.32,0.36,0.33,0.5,HIGH,76.2,17.0
0.76,0.7,0.73,0.81,0.88,2,0.02,0,0.86,0.72,1.0,0.89,0.91,LOW,6.2,71.0
0.56,0.59,0.52,0.56,0.48,2,0.29,2,0.59,0.66,0.51,0.61,0.5,MEDIUM,46.0,35.0
0.5,0.56,0.57,0.38,0.53,4,0.04,4,0.58,0.64,0.48,0.69,0.58,MEDIUM,60.8,53.2
0.4,0.4,0.3,0.58,0.42,7,0.56,7,0.3,0.59,0.57,0.43,0.5,HIGH,100.0,10.4
0.54,0.41,0.4,0.63,0.49,6,0.63,2,0.45,0.34,0.5,0.25,0.52,HIGH,91.8,44.8
0.53,0.52,0.62,0.62,0.73,6,0.23,1,0.64,0.74,0.46,0.59,0.59,MEDIUM,42.3,56.5
0.6,0.61,0.65,0.37,0.79,5,0.17,4,0.59,0.47,0.54,0.71,0.57,MEDIUM,49.0,54.9
0.64,0.8,0.86,0.27,0.68,3,0.35,2,0.75,0.52,0.83,0.89,0.7,MEDIUM,43.4,74.0
0.44,0.4,0.69,0.3,0.76,5,0.44,5,0.47,0.52,0.51,0.51,0.59,HIGH,69.8,38.7
0.48,0.63,0.59,0.72,0.61,2,0.49,1,0.82,0.6,0.49,0.48,0.79,MEDIUM,42.9,55.8
0.63,0.75,0.62,0.65,0.76,2,0.33,1,0.56,0.7,0.7,0.7,0.53,LOW,32.0,65.7
0.58,0.62,0.53,0.25,0.7,1,0.0,3,0.49,0.56,0.49,0.55,0.5,MEDIUM,53.6,45.3
0.47,0.6,0.74,0.72,0.63,5,0.53,0,0.73,0.67,0.76,0.74,0.89,MEDIUM,51.7,67.5
0.58,0.66,0.64,0.46,0.73,2,0.3,1,0.65,0.54,0.31,0.58,0.63,MEDIUM,48.6,64.2
0.51,0.4,0.52,0.57,0.55,2,0.17,3,0.52,0.62,0.64,0.71,0.5,MEDIUM,53.8,59.4
0.88,0.95,0.8,0.84,0.77,2,0.31,2,0.89,1.0,1.0,0.96,0.86,LOW,12.0,78.9
0.92,0.93,0.92,0.96,0.74,2,0.12,0,0.74,0.89,0.93,0.67,0.79,LOW,8.3,60.1
0.93,0.7,0.75,0.81,0.69,0,0.19,0,0.79,0.89,0.88,0.9,0.81,LOW,19.6,85.8
0.4,0.4,0.53,0.65,0.4,4,0.48,4,0.37,0.3,0.35,0.4,0.5,HIGH,83.8,33.9
0.7,0.63,0.61,0.55,0.82,5,0.43,2,0.78,0.49,0.61,0.2,0.59,MEDIUM,55.2,46.8
0.7,1.0,0.7,0.74,0.56,0,0.12,1,0.9,0.77,0.83,0.67,0.79,LOW,16.9,86.5
0.58,0.49,0.72,0.83,0.6,1,0.37,2,0.55,0.8,0.59,0.9,0.5,MEDIUM,43.5,47.0
0.67,0.78,0.7,0.56,0.48,2,0.21,1,0.65,0.62,0.79,0.95,0.64,LOW,36.8,72.0
0.65,0.82,0.49,0.67,0.64,1,0.35,3,0.94,0.69,0.84,0.8,0.67,LOW,38.3,69.7
0.75,0.79,0.65,0.79,0.61,5,0.35,2,0.86,0.83,0.68,0.69,0.77,MEDIUM,41.0,47.8
0.4,0.4,0.44,0.48,0.35,8,0.22,1,0.3,0.75,0.53,0.45,0.5,HIGH,85.9,27.5
0.89,0.78,0.97,0.73,0.73,0,0.0,0,0.85,1.0,0.98,1.0,0.92,LOW,4.5,83.2
0.4,0.4,0.3,0.41,0.2,7,0.61,0,0.32,0.3,0.44,0.2,0.5,HIGH,100.0,49.0
0.72,0.62,0.52,0.47,0.66,0,0.42,2,0.58,0.63,0.45,0.63,0.79,MEDIUM,50.3,54.1
1.0,1.0,0.91,0.79,0.82,1,0.0,0,1.0,0.82,0.79,0.94,1.0,LOW,0.0,78.4
0.63,0.91,0.81,0.83,1.0,1,0.12,0,0.75,0.64,0.91,0.94,0.93,LOW,15.8,93.1
1.0,0.81,0.94,0.8,1.0,1,0.0,1,1.0,0.97,1.0,0.78,1.0,LOW,0.0,91.4
0.89,0.85,0.98,0.88,0.98,0,0.09,0,0.8,0.85,0.81,0.88,0.73,LOW,0.0,75.2
0.61,0.64,0.43,0.5,0.76,7,0.21,4,0.49,0.36,0.57,0.33,0.5,HIGH,70.7,29.3
0.4,0.47,0.53,0.42,0.56,4,0.3,2,0.56,0.3,0.55,0.65,0.56,MEDIUM,63.9,28.8
0.68,0.75,0.72,0.79,0.66,4,0.12,5,0.72,0.56,0.64,0.56,0.8,MEDIUM,41.8,54.4
0.4,0.4,0.32,0.4,0.37,5,0.3,2,0.37,0.41,0.47,0.4,0.5,HIGH,86.4,61.1
0.6,0.81,0.47,0.69,0.5,4,0.24,1,0.48,0.58,0.56,0.39,0.6,MEDIUM,55.1,41.4
0.81,0.95,0.79,1.0,0.75,1,0.1,1,0.75,0.72,0.88,0.92,0.84,LOW,16.8,63.2
0.59,0.4,0.64,0.58,0.58,5,0.14,4,0.52,0.56,0.65,0.79,0.83,MEDIUM,52.9,62.1
0.83,0.95,0.64,0.73,0.77,2,0.21,2,0.86,0.74,0.69,0.95,0.76,LOW,29.5,60.6
0.66,0.66,0.73,0.99,0.99,2,0.36,1,0.93,0.65,1.0,0.83,0.8,LOW,26.2,84.4
0.4,0.46,0.3,0.3,0.49,5,0.23,2,0.3,0.3,0.25,0.28,0.5,HIGH,85.6,42.4
0.67,0.44,0.71,0.76,0.7,2,0.3,1,0.55,0.77,0.51,0.61,0.59,MEDIUM,38.8,75.3
0.97,0.94,0.94,0.94,0.85,0,0.36,1,1.0,0.89,1.0,0.91,1.0,LOW,4.0,87.3
0.82,0.99,0.86,0.96,0.99,2,0.3,1,0.97,0.97,0.69,0.75,0.65,LOW,19.7,94.2
0.46,0.64,0.8,0.41,0.58,2,0.27,1,0.4,0.54,0.31,0.64,0.5,MEDIUM,50.2,56.4
0.62,0.56,0.5,0.51,0.5,3,0.53,3,0.52,0.58,0.65,0.4,0.71,HIGH,70.3,36.9
0.58,0.56,0.66,0.57,0.5,1,0.0,1,0.53,0.81,0.6,0.42,0.55,LOW,35.7,44.1
0.76,0.85,0.72,0.59,0.95,1,0.38,1,0.71,0.66,0.92,0.82,0.94,LOW,32.1,83.6
0.79,0.8,0.77,1.0,0.93,1,0.0,1,0.56,0.91,1.0,1.0,0.78,LOW,12.6,79.0
0.74,0.56,0.72,0.71,0.68,4,0.53,3,0.6,0.6,0.74,0.74,0.66,MEDIUM,47.9,62.9
0.63,0.71,0.43,0.87,0.98,1,0.41,2,0.77,0.63,1.0,0.34,0.84,LOW,29.0,60.8
0.75,0.73,0.62,0.76,0.49,3,0.41,1,0.68,0.55,0.54,0.63,0.87,MEDIUM,43.9,81.1
0.88,1.0,1.0,0.67,0.88,1,0.07,1,0.97,0.74,0.91,0.68,0.94,LOW,4.6,78.1
0.65,0.4,0.69,0.69,0.6,3,0.24,6,0.58,0.79,0.54,0.54,0.57,MEDIUM,60.6,56.3
0.58,0.55,0.55,0.48,0.67,4,0.02,0,0.52,0.78,0.62,0.66,0.63,MEDIUM,50.3,61.0
0.65,0.68,0.58,0.69,0.68,4,0.27,7,0.62,0.6,0.66,0.52,0.57,HIGH,72.5,47.7
0.47,0.57,0.74,0.57,0.62,3,0.47,4,0.37,0.65,0.57,0.8,0.59,HIGH,68.7,45.5
0.73,0.87,0.76,0.85,0.75,0,0.38,0,0.92,1.0,1.0,1.0,0.84,LOW,5.8,90.3
0.72,0.92,0.91,0.85,0.76,3,0.22,1,0.85,0.79,0.86,0.59,0.81,LOW,19.4,86.3
0.4,0.4,0.3,0.25,0.37,0,0.71,2,0.32,0.45,0.25,0.25,0.5,HIGH,83.8,29.0
0.69,0.52,0.92,0.55,0.6,0,0.18,3,0.6,0.82,0.54,0.67,0.5,MEDIUM,34.2,36.4
0.44,0.4,0.38,0.63,0.43,3,0.3,1,0.37,0.59,0.46,0.5,0.64,MEDIUM,63.3,42.7
1.0,1.0,1.0,0.84,0.99,0,0.11,0,0.94,0.89,0.82,0.96,0.95,LOW,0.0,91.4
0.4,0.43,0.3,0.25,0.32,10,0.54,4,0.3,0.42,0.25,0.26,0.5,HIGH,100.0,18.8
0.53,0.67,0.39,0.25,0.62,6,0.4,0,0.73,0.71,0.42,0.68,0.5,HIGH,72.2,42.5
0.76,0.89,1.0,0.8,1.0,0,0.06,0,0.75,0.78,1.0,1.0,0.85,LOW,0.0,79.4
0.43,0.43,0.49,0.35,0.2,4,0.4,6,0.41,0.3,0.51,0.39,0.5,HIGH,95.5,45.6
0.44,0.62,0.5,0.48,0.41,3,0.11,3,0.62,0.57,0.44,0.39,0.71,MEDIUM,63.9,62.8
0.66,0.64,0.51,0.56,0.59,4,0.6,2,0.83,0.73,0.46,0.64,0.56,MEDIUM,62.4,54.8
0.4,0.5,0.53,0.45,0.38,6,0.52,2,0.44,0.36,0.55,0.52,0.5,HIGH,73.8,33.7
0.87,0.88,0.75,0.61,0.79,0,0.3,2,0.76,0.63,0.71,0.56,0.78,LOW,22.2,73.4
0.4,0.4,0.3,0.25,0.21,6,0.59,2,0.3,0.3,0.25,0.2,0.5,HIGH,100.0,7.4
0.43,0.67,0.45,0.3,0.57,3,0.57,2,0.59,0.56,0.81,0.61,0.5,HIGH,69.7,49.4
0.62,0.7,0.79,0.5,0.5,1,0.13,2,0.5,0.9,0.66,0.43,0.56,MEDIUM,40.2,42.6
0.43,0.4,0.3,0.25,0.2,5,0.09,1,0.3,0.56,0.58,0.51,0.5,HIGH,73.8,46.2
0.96,1.0,0.73,0.92,0.98,2,0.06,0,0.73,0.95,0.81,0.75,0.99,LOW,12.2,100.0
0.72,0.72,0.8,0.62,0.68,4,0.56,4,0.59,0.68,0.54,0.46,0.77,MEDIUM,47.2,49.2
0.84,0.85,0.74,0.83,0.87,0,0.13,0,0.9,0.73,0.84,0.88,0.95,LOW,6.6,82.9
0.59,0.73,0.44,0.59,0.42,6,0.04,3,0.61,0.7,0.48,0.74,0.63,HIGH,61.2,47.7
0.55,0.73,0.76,0.81,0.96,0,0.06,0,0.76,0.9,0.67,0.63,0.8,LOW,12.7,72.6
0.66,0.71,0.56,0.51,0.7,1,0.3,0,0.57,0.6,0.34,0.67,0.5,MEDIUM,44.9,45.4
0.76,0.94,0.79,0.78,0.96,3,0.0,0,0.79,0.89,1.0,0.97,0.7,LOW,15.5,84.8
0.97,1.0,0.79,1.0,0.75,0,0.0,1,0.98,0.87,1.0,1.0,0.77,LOW,2.1,79.7
0.47,0.42,0.54,0.4,0.36,9,0.58,5,0.4,0.32,0.25,0.5,0.5,HIGH,100.0,18.8
0.42,0.41,0.57,0.48,0.34,6,0.29,2,0.65,0.37,0.69,0.55,0.54,HIGH,72.8,35.2
0.4,0.4,0.35,0.39,0.36,4,0.4,4,0.3,0.32,0.47,0.51,0.5,HIGH,85.0,33.0
0.68,0.62,0.5,0.64,0.66,5,0.55,1,0.61,0.49,0.59,0.79,0.55,MEDIUM,59.7,63.9
1.0,1.0,0.71,1.0,0.86,5,0.3,0,1.0,0.99,1.0,0.73,1.0,LOW,21.6,82.1
0.4,0.4,0.49,0.79,0.76,4,0.52,8,0.37,0.3,0.35,0.24,0.5,HIGH,88.9,40.4
0.68,0.51,0.62,0.7,0.44,2,0.18,1,0.54,0.58,0.47,0.58,0.73,MEDIUM,45.4,58.9
0.7,0.64,0.88,0.71,0.42,1,0.14,2,0.78,0.65,0.67,0.74,0.77,LOW,31.4,69.5
0.4,0.4,0.3,0.26,0.2,2,0.91,4,0.3,0.51,0.44,0.42,0.5,HIGH,100.0,32.4
0.7,0.68,0.74,0.49,0.64,3,0.55,2,0.49,0.67,0.69,0.76,0.64,MEDIUM,51.7,61.4
0.63,0.71,0.75,0.96,0.8,1,0.06,0,0.56,0.89,0.81,1.0,0.81,LOW,19.8,89.6
0.63,0.86,0.43,0.72,0.7,7,0.14,0,0.53,0.57,0.66,0.8,0.57,MEDIUM,45.1,60.6
0.92,0.75,0.86,0.83,0.86,2,0.11,0,0.74,0.93,0.76,1.0,0.89,LOW,5.1,98.7
0.83,0.88,0.94,0.89,0.87,2,0.0,1,1.0,0.98,0.86,0.81,0.87,LOW,8.9,97.1
0.7,0.67,0.46,0.54,0.37,2,0.3,4,0.65,0.66,0.52,0.75,0.65,MEDIUM,63.0,66.9
1.0,0.86,0.95,1.0,0.91,0,0.15,0,0.94,1.0,0.91,1.0,0.89,LOW,0.0,86.4
0.4,0.4,0.37,0.25,0.36,6,0.75,6,0.3,0.3,0.31,0.27,0.5,HIGH,100.0,16.4
0.4,0.4,0.3,0.25,0.21,5,0.59,0,0.3,0.3,0.25,0.4,0.5,HIGH,95.9,21.1
0.7,0.56,0.71,0.82,0.84,0,0.27,1,0.82,0.83,0.99,0.82,0.69,LOW,14.7,69.3
0.48,0.4,0.3,0.25,0.33,8,0.65,4,0.3,0.3,0.25,0.2,0.5,HIGH,100.0,13.1
0.4,0.4,0.38,0.32,0.25,5,0.3,4,0.35,0.3,0.33,0.59,0.5,HIGH,86.7,25.2
0.68,0.74,0.63,0.48,0.85,4,0.15,1,0.62,0.5,0.53,0.43,0.53,MEDIUM,45.5,46.4
0.54,0.61,0.42,0.47,0.55,2,0.04,1,0.51,0.44,0.68,0.67,0.5,MEDIUM,53.7,39.1
0.4,0.51,0.49,0.54,0.39,4,0.4,5,0.51,0.3,0.52,0.26,0.5,HIGH,87.6,25.1
0.68,0.78,0.47,0.46,0.78,2,0.39,2,0.82,0.3,0.68,0.55,0.69,MEDIUM,45.2,50.6
0.76,0.75,0.49,0.81,0.9,3,0.39,2,0.61,0.68,0.69,0.92,0.55,LOW,36.7,63.5
0.83,0.81,0.66,0.65,0.7,1,0.13,1,0.6,0.67,0.46,0.47,0.69,LOW,26.6,65.6
0.87,0.81,0.95,0.98,0.76,0,0.1,0,0.8,1.0,0.77,0.96,0.71,LOW,8.0,89.8
0.72,0.54,0.48,0.9,0.54,2,0.35,1,0.8,0.67,0.66,0.74,0.67,MEDIUM,41.3,61.7
0.74,0.71,0.65,0.47,0.82,3,0.09,1,0.8,0.65,0.42,0.83,0.69,LOW,36.7,50.9
0.75,0.78,0.79,0.73,0.86,1,0.46,4,0.95,0.94,0.91,0.74,0.96,LOW,32.3,59.7
0.95,0.8,0.93,0.76,0.78,0,0.04,0,0.89,0.97,0.92,0.87,0.91,LOW,3.7,88.5
0.74,0.84,0.84,0.85,0.92,0,0.0,0,0.92,0.75,0.88,0.77,0.98,LOW,7.8,82.8
0.4,0.4,0.3,0.25,0.32,7,0.54,8,0.3,0.3,0.25,0.45,0.5,HIGH,100.0,25.7
0.93,0.76,0.78,0.72,0.78,1,0.14,1,0.77,0.96,0.79,1.0,0.84,LOW,15.8,89.4
0.62,0.6,0.59,0.63,0.55,3,0.18,2,0.63,0.66,0.98,0.76,0.7,MEDIUM,46.9,68.8
0.66,0.47,0.3,0.56,0.2,3,0.32,3,0.45,0.63,0.73,0.59,0.64,HIGH,67.6,45.6
0.77,0.92,0.69,0.58,0.87,1,0.43,1,0.66,0.6,0.47,0.64,0.8,MEDIUM,39.4,68.7
0.57,0.64,0.86,0.43,0.53,3,0.35,4,0.52,0.49,0.29,0.63,0.59,MEDIUM,55.4,28.5
1.0,0.97,1.0,0.9,0.99,0,0.05,0,1.0,1.0,0.79,0.95,1.0,LOW,0.0,87.6
0.69,0.5,0.52,0.72,0.57,3,0.45,5,0.56,0.53,0.53,0.71,0.66,HIGH,72.0,56.4
0.43,0.44,0.3,0.25,0.26,1,0.74,6,0.4,0.38,0.35,0.2,0.5,HIGH,100.0,22.8
0.56,0.69,0.65,0.35,0.95,1,0.49,2,0.79,0.71,0.53,0.94,0.78,MEDIUM,38.1,80.2
0.62,0.74,0.79,0.53,0.47,1,0.17,4,1.0,1.0,0.8,0.92,0.83,LOW,35.1,68.5
0.83,0.71,0.89,0.8,0.67,0,0.13,1,0.93,0.8,0.92,0.89,0.87,LOW,11.2,73.1
0.7,0.58,0.64,0.48,0.82,1,0.39,2,0.74,0.82,0.53,0.54,0.73,MEDIUM,39.3,63.7
0.4,0.4,0.3,0.25,0.2,9,0.53,7,0.4,0.44,0.29,0.32,0.5,HIGH,100.0,27.4
0.63,0.6,0.46,0.57,0.63,5,0.01,0,0.59,0.74,0.52,0.56,0.54,MEDIUM,43.2,67.8
0.4,0.47,0.34,0.32,0.4,0,0.42,5,0.38,0.41,0.39,0.33,0.5,HIGH,81.8,19.1
0.96,1.0,0.81,0.99,0.73,2,0.0,0,0.85,0.96,0.79,0.74,0.76,LOW,6.5,85.2
0.74,0.64,0.46,0.39,0.97,2,0.41,0,0.59,0.83,0.76,0.65,0.81,LOW,32.6,55.1
0.4,0.4,0.32,0.27,0.24,1,0.36,1,0.38,0.3,0.48,0.21,0.5,HIGH,77.0,8.5
0.4,0.4,0.3,0.27,0.38,7,0.56,5,0.3,0.3,0.31,0.33,0.5,HIGH,100.0,16.9
0.57,0.76,0.74,0.9,0.81,2,0.24,1,0.45,0.76,0.46,0.62,0.63,MEDIUM,37.3,45.5
0.78,0.95,0.87,0.9,0.93,3,0.2,1,1.0,0.64,0.72,0.72,0.74,LOW,12.8,71.3
0.4,0.4,0.3,0.25,0.2,3,0.57,2,0.3,0.39,0.25,0.2,0.5,HIGH,92.4,30.2
0.67,0.79,0.72,0.99,0.85,1,0.0,1,0.72,0.76,0.7,1.0,0.87,LOW,13.7,53.3
0.67,0.76,0.78,0.85,0.83,3,0.17,0,0.88,0.86,0.64,0.89,0.67,LOW,20.1,62.5
0.81,1.0,0.8,0.7,1.0,1,0.11,0,0.87,0.8,0.78,1.0,0.83,LOW,4.4,79.9
0.4,0.4,0.3,0.25,0.27,8,0.62,7,0.3,0.47,0.4,0.2,0.5,HIGH,100.0,11.4
0.62,1.0,0.97,0.8,0.86,0,0.01,0,0.92,0.84,0.79,1.0,0.89,LOW,2.8,88.9
0.76,0.83,1.0,0.75,0.76,3,0.33,1,0.82,0.57,0.98,0.83,0.9,LOW,23.8,74.7
0.4,0.4,0.3,0.25,0.25,2,0.48,3,0.3,0.3,0.39,0.31,0.5,HIGH,86.7,20.2
0.4,0.4,0.36,0.31,0.36,9,0.28,3,0.3,0.3,0.25,0.2,0.5,HIGH,100.0,13.2
0.55,0.62,0.93,0.76,0.67,3,0.57,4,0.49,0.59,0.75,0.48,0.71,MEDIUM,51.6,48.7
0.4,0.4,0.47,0.46,0.41,8,0.52,4,0.3,0.3,0.43,0.51,0.5,HIGH,100.0,28.4
0.72,0.86,0.9,0.62,0.8,2,0.0,1,0.9,0.88,0.86,0.68,0.8,LOW,21.0,67.3
0.47,0.51,0.44,0.69,0.63,2,0.31,2,0.85,0.41,0.43,0.48,0.56,MEDIUM,55.4,41.5
0.85,0.95,0.94,1.0,0.72,2,0.15,1,0.8,0.98,0.69,0.99,0.77,LOW,11.2,97.6
0.57,0.79,0.84,0.64,0.48,4,0.39,1,0.61,0.73,0.53,0.74,0.73,MEDIUM,33.3,63.3
0.4,0.4,0.48,0.42,0.55,6,0.47,4,0.33,0.3,0.25,0.3,0.5,HIGH,88.8,31.9
0.87,1.0,0.85,0.81,0.7,6,0.25,4,0.93,0.64,0.84,0.64,0.96,MEDIUM,32.2,62.2
0.62,0.93,0.83,0.81,1.0,0,0.01,0,0.74,1.0,0.83,0.88,0.86,LOW,0.2,85.6
0.64,0.54,0.66,0.75,0.71,1,0.05,4,0.64,0.6,0.5,0.54,0.5,MEDIUM,46.0,49.8
0.4,0.4,0.35,0.25,0.32,2,0.66,4,0.51,0.3,0.57,0.58,0.5,HIGH,94.5,39.6
0.59,0.73,0.72,0.67,0.6,2,0.5,2,0.68,0.87,0.4,0.97,0.62,MEDIUM,53.8,59.8
0.88,0.87,0.72,0.85,0.69,3,0.1,1,0.71,0.65,0.87,0.83,0.81,LOW,22.8,69.7
0.59,0.63,0.6,0.5,0.73,2,0.42,2,0.49,0.6,0.46,0.59,0.75,MEDIUM,56.1,32.1
0.7,0.52,0.79,0.78,0.54,4,0.09,5,0.65,0.57,0.59,0.49,0.61,MEDIUM,47.1,58.9
0.9,0.95,0.9,1.0,0.89,1,0.25,0,0.98,0.76,0.89,1.0,1.0,LOW,0.0,90.7
0.5,0.53,0.56,0.81,0.55,1,0.1,1,0.67,0.58,0.49,0.67,0.62,MEDIUM,44.2,53.6
0.4,0.4,0.3,0.25,0.2,7,0.59,4,0.48,0.3,0.25,0.3,0.5,HIGH,100.0,14.3
0.52,0.61,0.35,0.54,0.41,4,0.05,3,0.77,0.7,0.67,0.57,0.65,HIGH,61.6,49.2
0.42,0.53,0.43,0.48,0.2,4,0.36,2,0.34,0.51,0.35,0.47,0.5,HIGH,82.0,31.4
0.4,0.4,0.3,0.25,0.2,3,0.24,2,0.41,0.46,0.38,0.2,0.5,HIGH,75.0,36.2
0.5,0.7,0.67,0.54,0.74,2,0.23,8,0.47,0.46,0.45,0.35,0.64,MEDIUM,59.9,36.3
0.7,0.73,0.69,0.61,0.61,2,0.53,1,0.62,0.76,0.43,0.63,0.53,MEDIUM,45.1,54.4
1.0,0.94,0.71,0.81,0.72,2,0.11,0,0.81,0.65,0.81,0.75,0.85,LOW,9.3,70.5
0.48,0.65,0.51,0.57,0.66,3,0.36,5,0.65,0.55,0.5,0.75,0.5,HIGH,72.8,55.9
0.69,0.53,0.71,0.57,0.43,6,0.37,4,0.75,0.59,0.67,0.66,0.54,MEDIUM,57.4,54.6
0.45,0.56,0.3,0.46,0.2,10,0.58,3,0.63,0.3,0.47,0.24,0.5,HIGH,100.0,43.3
0.69,0.74,0.68,0.62,0.81,5,0.24,0,0.71,0.71,0.59,0.72,0.58,MEDIUM,36.9,80.5
0.9,1.0,0.92,0.66,0.94,1,0.41,1,0.92,1.0,0.84,0.85,1.0,LOW,14.6,81.9
0.94,0.97,0.85,0.77,0.93,1,0.06,1,0.93,0.9,0.76,1.0,0.85,LOW,4.4,72.1
0.69,0.63,0.79,0.77,0.55,2,0.2,1,0.57,0.5,0.64,0.45,0.68,MEDIUM,33.0,59.3
0.96,1.0,0.87,0.69,1.0,0,0.16,1,0.86,0.81,1.0,0.6,0.95,LOW,1.1,85.0
0.6,0.61,0.64,0.77,0.66,5,0.39,3,0.74,0.61,0.64,0.81,0.62,MEDIUM,45.4,46.8
0.67,0.69,0.63,0.5,0.79,3,0.46,2,0.67,0.6,0.54,0.83,0.55,MEDIUM,42.6,53.4
0.57,0.53,0.59,0.53,0.4,7,0.41,4,0.52,0.46,0.6,0.68,0.5,HIGH,74.9,38.8
0.51,0.63,0.45,0.65,0.5,3,0.35,2,0.52,0.44,0.83,0.42,0.53,MEDIUM,53.8,53.0
